"id","方向","证据角色","作者","年份","题名","来源/类型","研究对象与地区","时间尺度","不确定性","核心决策","N-1","工程工期或延期","业务灵活性","绿电口径","测试系统或数据","与本项目的直接差异","RQ关联","核验层级","DOI或URL","核验日期"
"TEP01","多阶段随机输电扩展","方法直接支撑","Sini Han; Hyeon-Jin Kim; Duehee Lee","2020","A Long-Term Evaluation on Transmission Line Expansion Planning with Multistage Stochastic Programming","Energies; journal article","需求不确定下的输电线路扩展","长期多阶段","需求场景","候选线路建设/强化；用dual decomposition、progressive hedging和branch-and-bound求解","摘要未报告","摘要未报告实际工程延期状态","无数据中心业务灵活性","无CFE匹配","IEEE 30-bus","已证明多阶段随机TEP本身并非创新；未结合数据中心达产、F/X产品、双重时钟或小时级共享柔性预算","RQ1方法支撑","A-摘要筛选","https://doi.org/10.3390/en13081899","2026-07-13"
"TEP02","多阶段随机输电扩展","方法支撑","Mort Webster","2022","A Multistage Stochastic Transmission Expansion Algorithm for Wide-Area Planning under Uncertainty","technical report","广域输电规划","多阶段；细节待全文核验","多类规划不确定性；待全文核验","输电扩展算法","待全文核验","待全文核验","不适用","不适用","待全文核验","表明广域多阶段随机扩展已有专门算法；本项目创新必须落在数据中心信息时序和合同机制上","RQ1方法支撑","M-元数据核验","https://doi.org/10.2172/1737833","2026-07-13"
"TEP03","随机输电扩展场景设计","方法支撑","Faezeh Akhavizadegan; Lizhi Wang; James McCalley","2020","Scenario Selection for Iterative Stochastic Transmission Expansion Planning","Energies; journal article","美国东西部互联系统输电规划","长期、空间和时间多尺度","需求、发电容量和燃料成本；从100万场景选10个","场景选择和既定输电方案价值估计","摘要未报告","摘要未报告","无数据中心业务灵活性","无CFE匹配","代表美国Eastern和Western Interconnections的系统模型","提供场景约简与方案评估方法，但不处理非预见性策略执行、F/X或工程延期逐步揭示","RQ1场景方法","A-摘要筛选","https://doi.org/10.3390/en13051203","2026-07-13"
"TEP04","鲁棒输电网络扩展","方法对照","R. A. Jabr","2013","Robust Transmission Network Expansion Planning With Uncertain Renewable Generation and Loads","IEEE Transactions on Power Systems; journal article","新能源和负荷不确定下输电扩展","长期；待全文核验","新能源和负荷不确定性","鲁棒输电网络扩展","待全文核验","待全文核验","无数据中心业务灵活性","新能源作为不确定注入，不是买方CFE匹配","待全文核验","鲁棒扩展已存在；不包含数据中心双重时钟、F/X和年度/小时CFE对照","RQ1方法对照","M-元数据核验","https://doi.org/10.1109/TPWRS.2013.2267058","2026-07-13"
"TEP05","主动负荷与鲁棒输电扩展","方法对照","Wensheng Li; Long Zhao; Yin Bo; Weilun Wang; Mingqiang Wang; Shuai Liu; Rui Liu; Xian Wang","2021","Robust transmission expansion planning model considering multiple uncertainties and active load","Global Energy Interconnection; journal article","主动负荷参与输电扩展","长期；待全文核验","多重不确定性","鲁棒输电扩展和主动负荷","待全文核验","待全文核验","active load；具体能量和恢复约束待全文核验","无小时级CFE买方匹配证据","待全文核验","说明主动负荷与鲁棒扩展的结合也不是空白；本项目差异必须由DC合同、信息时序和共享预算建立","RQ1/RQ2方法对照","M-元数据核验","https://doi.org/10.1016/j.gloei.2021.11.009","2026-07-13"
"FLEX01","数据中心需求响应","经典综述/机制支撑","Adam Wierman; Zhenhua Liu; Iris Liu; Hamed Mohsenian-Rad","2014","Opportunities and challenges for data center demand response","International Green Computing Conference; proceedings article","数据中心参与电网需求响应","运行时间尺度；待全文核验","待全文核验","工作负载和电力需求响应机制","不适用","不适用","数据中心DR机会和挑战；具体包络待全文核验","非核心","待全文核验","证明数据中心需求响应不是新概念；本项目只能主张新的规划耦合和风险证据","RQ2机制背景","M-元数据核验","https://doi.org/10.1109/IGCC.2014.7039172","2026-07-13"
"FLEX02","数据中心需求响应","经典机制支撑","Zhenhua Liu; Adam Wierman; Yuan Chen; Benjamin Razon; Niangjun Chen","2013","Data center demand response","ACM SIGMETRICS; proceedings article","美国Fort Collins公用事业尖峰与生产系统负荷","运行调度；约20年尖峰数据和生产轨迹","coincident peak模式；提出期望成本和最坏情形算法","工作负载移峰和本地发电以降低尖峰与成本","不适用","不适用","工作负载移峰；未在摘要中给出持续时间、事件次数和恢复债务产品","非CFE研究","Fort Collins历史尖峰数据和真实生产轨迹模拟","关注成本和coincident peak，不研究输电接入容量、N-1、扩建或两类灵活性承诺冲突","RQ2机制背景","A-摘要筛选","https://doi.org/10.1145/2465529.2465740","2026-07-13"
"FLEX03","可再生能源感知作业调度","经典机制支撑","Íñigo Goiri; Kien Le; Md. E. Haque; Ryan Beauchea; Thu D. Nguyen; Jordi Guitart; Jordi Torres; Ricardo Bianchini","2011","GreenSlot","SC Conference; proceedings article","绿电数据中心批处理作业调度","小时级/作业截止期；待全文核验","可再生出力预测；待全文核验","批处理作业调度","不适用","不适用","以截止期和资源约束调度作业；待全文编码","面向现场绿电使用，不是属地电网CFE归属","待全文核验","证明绿电感知工作负载调度早已存在；无F/X接入和网络扩建","RQ2/RQ3机制背景","M-元数据核验","https://doi.org/10.1145/2063384.2063411","2026-07-13"
"FLEX04","可再生供能数据中心管理","经典机制支撑","Íñigo Goiri; William Katsak; Kien Le; Thu D. Nguyen; Ricardo Bianchini","2013","Parasol and GreenSwitch","ASPLOS; proceedings article","可再生能源供能数据中心的系统和调度","运行时间尺度；待全文核验","可再生出力；待全文核验","作业、服务器、可再生能源和可能的储能管理","不适用","不适用","工作负载调度；待全文编码","现场可再生能源管理，不等于电网小时级CFE归属","实验平台和轨迹；待全文核验","无输电安全、F/X、扩建或场景树；不能把绿电感知数据中心调度作为本项目创新","RQ2/RQ3机制背景","M-元数据核验","https://doi.org/10.1145/2451116.2451123","2026-07-13"
"FLEX05","跨地域负载均衡与电价","经典机制支撑","Asfandyar Qureshi; Rick Weber; Hari Balakrishnan; John Guttag; Bruce Maggs","2009","Cutting the electric bill for internet-scale systems","ACM SIGCOMM; proceedings article","美国29个地点的互联网规模系统","逐时电价与流量轨迹","地点和时间电价变化","跨地点路由计算负荷以降低电费","不适用","不适用","跨地域工作负载转移","未建清洁电力目标","美国29地历史电价和Akamai CDN流量","关注电价套利且依赖跨站迁移；本项目固定POI并明确排除跨数据中心任务迁移","研究边界","A-摘要筛选","https://doi.org/10.1145/1592568.1592584","2026-07-13"
"FLEX06","跨地域负载均衡与新能源","经典机制支撑","Zhenhua Liu; Minghong Lin; Adam Wierman; Steven H. Low; Lachlan L. H. Andrew","2011","Geographical load balancing with renewables","ACM SIGMETRICS Performance Evaluation Review; article","互联网规模数据中心跟随可再生能源","逐时轨迹","可再生出力的时间和地域变化","跨地域负载均衡、储能和新能源组合","不适用","不适用","跨地域follow-the-renewables","追随新能源，不是合同化年度/小时CFE归属","trace-based study","没有电网潮流、固定POI、接入扩建或共享网络/CFE预算；且本项目边界排除跨站迁移","RQ3背景；研究边界","A-摘要筛选","https://doi.org/10.1145/2160803.2160862","2026-07-13"
"FLEX07","碳感知计算","运行方法支撑","Ana Radovanović; Ross Koningstein; Ian Schneider; Bokan Chen; Alexandre Duarte; Binz Roy; Diyue Xiao; Maya Haridasan; Patrick Hung; Nick Care; Saurav Talukdar; Eric Mullen; Kendal Smith; MariEllen Cottman; Walfredo Cirne","2023","Carbon-Aware Computing for Datacenters","IEEE Transactions on Power Systems; journal article; arXiv:2106.11750","Google全球数据中心集群","日前预测与逐时虚拟容量曲线；日内完成","次日碳强度和需求预测风险","生成Virtual Capacity Curves并延迟时间灵活工作负载","不适用","不适用","逐时容量上限并保持日总容量，使可延期作业日内完成","基于电网碳强度调度，不等于可归属CFE匹配","Google实际运行数据","提供绿电/碳感知移峰机制，但不优化F/X、扩建、N-1或网络服务与CFE双重承诺","RQ2/RQ3运行背景","A-摘要筛选","https://doi.org/10.1109/TPWRS.2022.3173250; https://arxiv.org/abs/2106.11750","2026-07-13"
"FLEX08","带资源约束的需求响应","通用方法支撑","Hyung-Geun Kwag; Jin-O Kim","2012","Optimal combined scheduling of generation and demand response with demand resource constraints","Applied Energy; journal article","发电与需求响应联合调度","运行调度；待全文核验","待全文核验","发电和需求资源联合调度","待全文核验","不适用","标题明确含demand resource constraints；持续时间和恢复细节待全文核验","非CFE研究","待全文核验","支持灵活性不能只用MW上限描述，但不是数据中心接入与扩建模型","RQ2方法支撑","M-元数据核验","https://doi.org/10.1016/j.apenergy.2011.12.075","2026-07-13"
"CFE01","年度匹配局限与小时化动机","概念支撑","Jacques A. de Chalendar; Sally M. Benson","2019","Why 100% Renewable Energy Is Not Enough","Joule; journal article","企业100%可再生能源声明和电力系统脱碳","年度与更细时间尺度的概念比较","非优化不确定性；待全文核验","政策和采购口径讨论","不适用","不适用","无数据中心业务灵活性","批评仅年度100%可再生能源口径","概念和案例；待全文核验","建立RQ3动机，但不研究接入容量、扩建时序或网络可行性","RQ3动机","M-元数据核验","https://doi.org/10.1016/j.joule.2019.05.002","2026-07-13"
"CFE02","年度与小时碳核算","证据支撑","Gregory J. Miller; Kevin Novan; Alan Jenn","2022","Hourly accounting of carbon emissions from electricity consumption","Environmental Research Letters; journal article","美国住宅、商业、工业和农业设施用电碳核算","小时与年度/月度核算","地区和时段碳强度变化","核算方法比较，无投资或接入决策","不适用","不适用","无业务灵活性","比较小时碳核算与年度/月度平均排放因子；部分设置偏差可达35%","美国数千设施","证明时间聚合会造成核算偏差，但碳排放核算不等于属地CFE归属，也不回答F/X和扩建决策","RQ3证据支撑","A-摘要筛选","https://doi.org/10.1088/1748-9326/ac6147","2026-07-13"
"CFE03","年度与24/7 CFE采购","最直接的绿电对照","Iegor Riepin; Tom Brown","2024","On the means, costs, and system-level impacts of 24/7 carbon-free energy procurement","Energy Strategy Reviews; journal article; arXiv:2403.07876","欧洲企业买方在不同区域和电力系统阶段的CFE采购","2025/2030规划年；2920个三小时快照","地区、技术组合和电力系统清洁程度情景；不是序贯随机决策","新增发电与储能容量、逐时/三小时调度、跨区电力流和采购组合","无显式N-1 contingency集合","有容量扩展但无工程工期和延期","主要依靠发电、储能和市场进口；无数据中心业务恢复债务","直接比较无承诺、100%年度匹配和24/7 CFE；含本地新增性、grid CFE factor和超额电量规则","PyPSA-Eur；37个bidding zones；Ireland、DK1、Germany、Poland","年度与小时匹配的系统影响本身不是创新；本项目差异是固定POI接入、F/X、N-1、扩建延期与共享业务柔性预算。该文实际用3小时快照，不能作为严格逐小时实现先例","RQ3直接基线","F-全文筛选","https://doi.org/10.1016/j.esr.2024.101488; https://arxiv.org/abs/2403.07876","2026-07-13"
"CFE04","24/7 CFE与先进清洁技术","直接绿电方法支撑","Iegor Riepin; Jesse D. Jenkins; Devon Swezey; Tom Brown","2025","24/7 carbon-free electricity matching accelerates adoption of advanced clean energy technologies","Joule; journal article","24/7 CFE采购与先进清洁技术采用","长期容量扩展加细时间匹配；待全文核验","技术和系统情景；待全文核验","清洁发电、储能和采购组合；待全文核验","待全文核验","容量扩展但工期/延期待全文核验","非数据中心业务灵活性","24/7 CFE匹配","待全文核验","进一步确认24/7 CFE影响技术选择并非空白；本项目只能主张其与接入/扩建/业务柔性的特定耦合","RQ3方法支撑","M-书目核验，待全文编码","https://doi.org/10.1016/j.joule.2024.101808","2026-07-13"
"DC11","数据中心空间灵活性与拥塞/弃光","直接竞争（RQ2最近邻）","Haoxiang Wan; Linhan Fang; Xingpeng Li","2026","Grid Operational Benefit Analysis of Data Center Spatial Flexibility: Congestion Relief, Renewable Energy Curtailment Reduction, and Cost Saving","arXiv preprint:2511.08759；v1 2025-11-11，v2 2026-03-27；eess.SY","多个数据中心空间灵活性参与系统运行；OPF算例","单期/日内运行OPF快照；无场景树","确定性算例；未建达产或工程延期不确定性","跨节点工作负荷空间重分配；发电调度；缓解拥塞与弃光","否；报告缓解传输越限但未见统一硬N-1集合","无扩建、工期或延期决策","空间负荷重分配为主；未见最大持续时间、事件次数、恢复债务或能量守恒包络","优化弃光（降61.0%）与拥塞（降30.1%），不定义可归属CFE，也不比较年度与小时匹配","修改的IEEE 73-bus系统","用单一跨节点负荷重分配变量同时缓解拥塞与消纳新能源，物理上天然不重复计数；但未把网络条件服务与CFE移峰建成两项独立合同承诺、无错误重复承诺基线、未量化X高估与场景外履约风险；无F/X分层、多阶段信息与固定POI接入扩建","RQ2最近邻直接竞争；须正面回应“统一变量天然不重复”反驳","F-全文筛选","https://arxiv.org/abs/2511.08759","2026-08-20"
"DC12","数据中心时空移峰与价格信号","直接竞争","Ding Ma; Yujian Ye; Yizhi Wu; Dezhi Xu; Zhaohao Ding; Goran Strbac","2025","Bi-Level Optimisation Model for Harvesting Spatial-Temporal Load Shifting Flexibility of Data Centres Using Endogenously Formed Locational Price Signal","IET Smart Grid; journal article; Vol 8, Issue 1, e70020","数据中心与电力系统协调；双层优化；内生形成节点电价信号","运行调度；日内时空移峰；无长期序贯规划场景树","未建达产/工程延期场景树；不确定性非序贯","上层系统运行/定价，下层数据中心时空移峰；内生LMP","否；摘要与正文未见统一硬N-1集合","无扩建工期或延期","时空负荷移峰；未见最大持续时间、事件次数与恢复债务合同包络","以价格信号提升可再生消纳（+26.6%）并降碳（-63%），为一体化目标而非可归属CFE合同","修改的IEEE 39-node系统","价格驱动的单一体化目标利用灵活性缓解拥塞并提升消纳，未把两类服务建成独立合同承诺，无重复承诺错误基线与场景外履约风险量化；无F/X、扩建与多阶段信息结构","RQ2方法背景与差异对照","F-全文筛选","https://doi.org/10.1049/stg2.70020","2026-08-20"
"DC13","数据中心负荷解耦与碳收益","边界/背景对照","Liuzixuan Lin; Andrew A. Chien","2025","Distribution and Management of Datacenter Load Decoupling","arXiv preprint:2511.08936；2025-11-12；cs.DC","数据中心负荷解耦资源的分配与管理；多站点","运行调度；负荷解耦资源分配","站点差异；未建输电规划不确定性场景树","解耦资源分配与管理以最大化电网碳减排收益","否；无输电网络N-1模型","无扩建工期或延期","负荷解耦（decoupling）能力；面向碳收益，未见持续时间/事件次数/恢复债务合同包络","以提升电网可再生吸纳降碳为目标（优化分配可达潜在碳减排>98%），非属地小时级CFE归属","系统级评估；无输电潮流/N-1算例","碳中心、系统级评估，无网络N-1、无F/X接入分层、无网络与CFE两类服务的重复承诺视角；固定POI接入与扩建时序不在范围内","研究边界与背景对照","F-全文筛选","https://arxiv.org/abs/2511.08936","2026-08-20"
"FLEX09","柔性资源传输受限运行风险","风险方法对照（非数据中心）","Wei Zhang; Linbo Fang; Fulin Zhao; Bowen Xu; Guorong Sun","2025","Operational risk assessment of power system considering transmission limitation on flexible resources and its application to SCUC","AIP Advances; journal article; Vol 15, 115016 (2025)","含新能源电力系统的柔性资源运行风险；华中省级电网背景","日前UC与运行风险评估；两阶段","两阶段随机鲁棒；新能源/负荷不确定性；用列约束生成求解","两阶段随机鲁棒SCUC；把传输受限运行风险指标纳入目标","考虑传输受限但为运行安全约束，非本项目统一硬N-1接入集合","无扩建、工期或延期","面向发电/新能源等柔性资源（非数据中心业务柔性）；无F/X合同、持续时间或恢复债务","非CFE研究；关注弃风弃光与传输受限","修改的IEEE 24-bus系统","运行层风险评估（传输受限如何降低柔性可用性），无数据中心接入规划、F/X分层与两类服务重复承诺；提供“传输受限使下调灵活性更难兑现”的方法学佐证，支持RQ2场景外履约风险动机，但不是竞争性接入模型","RQ2风险方法对照","F-全文筛选","https://doi.org/10.1063/5.0302342","2026-08-20"
"DC14","数据中心时空工作负荷与调频容量承诺","直接竞争（RQ2最近邻）","Yingrui Fan; Junbo Zhao","2026","Harnessing Flexible Spatial and Temporal Data Center Workloads for Grid Regulation Services","arXiv preprint:2602.01508；v1 2026-02-02；eess.SY","地理分布式数据中心通过工作负荷调度提供电网调频服务","日前时空调度；时段内高频调频信号与累计信号窗口","历史PJM RegD信号和交互负荷不确定性；Gaussian envelope瞬时chance constraints；累计调频信号VaR queue-state constraints","工作负荷跨站/跨时分配、基线功率、调频容量承诺、机组启停与调度","否；全文未建立显式N-1 contingency集合","无规划扩建、工期或延期","队列守恒、延迟与硬件资源限制；瞬时功率chance constraints和累计queue-state VaR约束共同保证已承诺调频容量的概率可交付性","无年度或小时级CFE采购/归属约束；只建调频服务","修改的IEEE 68-bus；8个数据中心；PJM regulation价格与RegD信号；Alibaba作业轨迹；ISO-NE/NYISO负荷","已联合优化workload distribution与regulation capacity commitment，并显式处理瞬时及累计可交付性，因此本项目不能以容量承诺或deliverability本身主张优先权；本项目差异候选限于network-contingent与hourly-CFE两种制度主张对同一包络的重叠机制、B6反事实和未知联合分布下的部分识别","RQ2最近邻；deliverability主张边界","F-全文筛选","https://arxiv.org/html/2602.01508","2026-08-25"
"DC15","数据中心分层灵活性与容量扩展","直接竞争（RQ2最近邻）","Saroj Khanal; Geon Roh; Boyu Yao; Abraham Silverman; Dennice Gayme; Charalambos Konstantinou; Jip Kim; Yury Dvorkin","2026","Shift or curtail? How much data-center flexibility is worth depends on the host power grid","arXiv preprint:2608.19622；v1 2026-08-20；physics.soc-ph","PJM与韩国电力系统中数据中心firm/flexible/interruptible分层参与容量扩展","2028与2038两个静态规划快照；小时级代表日运行","用负荷与可再生序列的k-medoids代表日；两个目标年为静态情景，不是序贯信息揭示","发电、储能与输电容量扩展；逐时运行；数据中心时移、跨区转移与削减；resource-adequacy accreditation/credit为固定参数，进入capacity-adequacy约束与核算而非决策变量","以全走廊contingency factor统一降额近似N-1；未枚举显式contingency集合","含候选发电、储能和输电扩展；以2028/2038快照括住规划问题，无连续建设路径、工期或延期决策","firm/flexible/interruptible三层；24小时backlog/make-up；interruptible depth、duration、ramp、minimum recovery、年度能量与小时上限","PJM州级RPS/容量目标和韩国CO2 cap；不是数据中心买方hourly CFE matching","PJM 21-zone缩减网与KPG 193；候选资源来自PJM队列与韩国BPESD；小时代表日","已在容量扩展中显式建模event-shape与recovery，且显示其价值依赖host grid，因此本项目不能以容量扩展中的duration/ramp/recovery本身主张优先权；该文不构造network-contingent与hourly-CFE两项独立主张的B6重复承诺反事实，也不做跨源公开边缘的sharp partial identification","RQ1/RQ2最近邻；event-shape与扩展边界","F-全文筛选","https://arxiv.org/html/2608.19622","2026-08-25"
